LJ001-0018 i.e
LJ001-0026 ne
LJ001-0031 sweynheim, pannartz
LJ001-0036 mentelin
LJ001-0037 zeiner
LJ001-0038 udalric
LJ001-0044 vindelin
LJ001-0055 --, e.g, rubeus, --
LJ001-0066 zeiner, schussler
LJ001-0068 leew
LJ001-0077 founder
LJ001-0087 bodoni
LJ001-0096 bodoni
LJ001-0114 pear
LJ001-0163 e.g
LJ002-0016 akerman
LJ002-0043 --
LJ002-0061 gatesmen
LJ002-0068 gatesmen
LJ002-0086 grated
LJ002-0097 bins
LJ002-0099 --
LJ002-0107 sentry
LJ002-0167 non
LJ002-0177 praecipe
LJ002-0183 compters
LJ002-0187 comer, chummage
LJ002-0223 chummage
LJ002-0259 p.m
LJ002-0271 compters
LJ002-0294 comer
LJ002-0308 non
LJ002-0316 redesdale
LJ002-0319 --
LJ003-0008 a.m, p.m
LJ003-0038 compters
LJ003-0053 pell-mell
LJ003-0076 --
LJ003-0088 --
LJ003-0105 breaker
LJ003-0177 --
LJ003-0179 misess
LJ003-0231 dollimore
LJ003-0244 re
LJ003-0247 gatesman
LJ003-0251 manacling
LJ004-0002 misess
LJ004-0009 sacrificing
LJ004-0047 m.p
LJ004-0048 misess
LJ004-0049 anti
LJ004-0050 misess
LJ004-0074 suffocated
LJ004-0170 --
LJ004-0180 --
LJ004-0193 --
LJ004-0198 spit
LJ004-0208 wool
LJ004-0237 --
LJ005-0029 --
LJ005-0030 doers, sharings
LJ005-0032 weavers'
LJ005-0042 tread-wheels, wheels
LJ005-0046 --
LJ005-0113 --
LJ005-0125 reappropriate
LJ005-0128 --
LJ005-0130 tread-wheels
LJ005-0149 tread
LJ005-0150 tread
LJ005-0203 mwddy
LJ005-0206 godmanchester
LJ005-0213 bye
LJ005-0272 wardsmen
LJ006-0025 misseurs
LJ006-0063 non
LJ006-0080 gatesman
LJ006-0088 --
LJ006-0099 clad
LJ006-0104 wardsmen
LJ006-0113 wardsmen
LJ006-0123 gatesman
LJ006-0127 --
LJ006-0128 gatesman
LJ006-0132 wardsmen
LJ006-0136 wardsmen
LJ006-0145 taker
LJ006-0148 wardsmen
LJ006-0174 unsupervised
LJ006-0181 --
LJ006-0212 gatesman
LJ006-0219 leap
LJ006-0240 watkins'
LJ006-0242 watkins'
LJ006-0243 watkins'
LJ006-0258 mince
LJ006-0261 bradawls
LJ006-0290 gatesman
LJ006-0293 misess
LJ006-0297 cheeked
LJ007-0003 misess
LJ007-0021 --
LJ007-0032 higgledy-piggledy
LJ007-0044 hearted
LJ007-0045 buff, leap
LJ007-0103 clipperton
LJ007-0105 m.p.
LJ007-0118 wardsmen
LJ007-0154 grounded
LJ007-0162 --
LJ007-0188 misemployment
LJ007-0196 dining, dining
LJ007-0199 bins
LJ007-0202 unremedied
LJ007-0214 --
